"I, A",N,"t, s","N, 1/s",(N)^0.5,(N)^0.5/I
0,437.976,360,1.2166,1.10299592021004,#DIV/0!
0,129,100,1.29,1.13578166916005,#DIV/0!
0,119,100,1.19,1.09087121146357,#DIV/0!
0.2,114,100,1.14,1.06770782520313,5.33853912601566
0.4,136,100,1.36,1.16619037896906,2.91547594742265
0.6,150,100,1.5,1.22474487139159,2.04124145231932
0.8,273,100,2.73,1.65227116418583,2.06533895523229
1,556,100,5.56,2.35796522451032,2.35796522451032
1.2,929,100,9.29,3.04795013082563,2.5399584423547
1.4,1189,100,11.89,3.44818792991333,2.46299137850952
1.6,1394,100,13.94,3.73363094051889,2.33351933782431
1.8,1489,100,14.89,3.85875627631495,2.14375348684164
2,1496,100,14.96,3.86781592116274,1.93390796058137
2.2,1449,100,14.49,3.80657326213486,1.73026057369766
2.4,1089,100,10.89,3.3,1.375
2.6,792,100,7.92,2.81424945589406,1.08240363688233
2.8,396,100,3.96,1.98997487421324,0.710705312219015
3,422,100,4.22,2.05426385841741,0.684754619472471
3.1,1276,100,12.76,3.57211421989835,1.15229490964463
3.15,1935,100,19.35,4.39886348958456,1.39646459986811
3.2,2279,100,22.79,4.773887304912,1.491839782785
3.25,2447,100,24.47,4.94671608241266,1.5220664868962
3.3,2229,100,22.29,4.72122865364515,1.43067534958944
3.35,1759,100,17.59,4.19404339510215,1.2519532522693
3.4,1487,100,14.87,3.85616389693177,1.13416585203876
3.5,602,100,6.02,2.45356882927706,0.701019665507731
3.6,265,100,2.65,1.62788205960997,0.45218946100277
3.78,82,100,0.82,0.905538513813742,0.239560453389879
4,80,100,0.8,0.894427190999916,0.223606797749979
4.2,57,100,0.57,0.754983443527075,0.179757962744542
